,Unnamed: 0,bpm,key_signature,chords,song_name
0,0,110.00091667430564,a minor,"['-', '-', 'VI7', 'i', 'VI7', 'i', 'VII', 'i', 'VII', 'i', 'VI7', 'v', 'VI7', 'i', 'VII', 'i', 'ii42', 'v', 'i', 'i42', 'VI7', 'i42', 'VII', 'i', 'VII', 'i', 'i', 'i42', 'i', 'i42', 'VII', 'i', 'VII', 'i', 'ii42', 'i', 'ii42', 'i', 'ii42', 'i', 'ii42', 'i42', 'VII', 'i64', 'VII', 'i42', 'i', 'i42', 'i', 'i42', 'VII', 'i', 'VII', 'i', 'ii42', 'i', 'ii42', 'i', 'ii42', 'i', 'ii42', 'i', 'III42', 'IV6', 'III42', 'IV6', 'VI53', 'VII53', 'VI53', 'VII53', 'VI53', 'v', 'VI53', 'i42', 'ii42', 'v', 'ii42', 'i', 'i', 'i42', 'i53', 'i42', 'III42', 'i53', 'III42', 'i', 'VII42M7', 'i', 'ii42', 'i', 'ii42', 'i', 'ii42', 'i', 'v65', 'i', 'v65', 'i', 'VII', 'i', 'v65', 'i43', 'ii42', 'i', 'ii42', 'i', 'ii42', 'i', 'v65']",Domino Dancing
0,0,176.00004693334586,G major,"['I', 'vi', 'ii', 'v', 'vii65', 'vi', 'ii', 'vi', 'ii', 'V', 'vi43', 'V', 'V', 'V53', 'iii', 'iii42', 'vi', 'vi', 'ii', 'v', 'vii65', 'V53', 'vi43', 'v', 'V', 'II', 'v', 'v65', 'v65', 'iv', 'ii65', 'V53', 'V53', 'IV', 'ii65', 'V53', 'v', 'IV', 'IV', 'V53', 'v', 'IV', 'IV', '#iv', 'v7', 'I64', 'II', 'IV', 'I64', 'IV', 'v', 'IV', 'v7', 'I64', 'ii', 'IV', 'I64', 'ii', 'v7', 'IV', 'v7', 'V53', 'V7M7', 'ii', 'ii', 'ii', 'ii', 'V53', 'v', 'IV53', 'IV53', 'V53', 'v', 'IV53', 'IV53', 'V53', 'v', 'ii6', 'bVII64', 'V64', 'bVII53', 'I', 'I', 'vi42', 'v', 'IV53', 'IV53', 'V53', 'v', 'IV53', 'IV53', 'V53', 'v', 'ii6', 'bVII64', 'v', 'bVII53', 'ii', 'ii', '#iv', 'v7', 'I64', 'II', 'IV', 'I64', 'IV', 'v', 'IV', 'v7', 'I64', 'ii', 'IV', 'I64', 'ii', 'v7', 'IV', 'v7', 'V53', 'V7M7', 'ii', 'ii', 'ii', 'ii', 'V53', 'v', 'IV53', 'IV53', 'V53', 'v', 'IV53', 'IV53', 'V53', 'v', 'ii6', 'bVII64', 'V64', 'bVII53', 'I', 'I', 'vi42', 'v', 'IV53', 'IV53', 'V53', 'v', 'IV53', 'IV53', 'V53', 'v', 'ii6', 'bVII64', 'v', 'bVII53', 'ii6', 'v65', 'I64', 'I64', 'bIII64', 'bIII64', 'vi43', 'vi7', 'bIII64', 'bIII64', 'bVII6', 'v7', 'bIII53', 'i42', 'bIII53', 'i', 'i', 'v64', 'v64', 'bIII64', 'vi42', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'v', 'iv', 'iv', 'iii', 'iv', 'iv', 'iv', 'iii', 'I64', 'I64', 'V53', 'i64', 'IV53', 'V53', 'V64', 'I', 'IV53', 'V53', 'bVII53', 'VI42M7', 'I6', 'II6', 'iv', 'iv', 'iv', 'iv', 'V53', 'i64', 'IV53', 'V53', 'V64', 'I', 'IV53', 'V53', 'bVII53', 'VI42M7', 'I6', 'II6', 'bIII6', 'bIII6', 'IV', 'vi42', 'bIII6', 'IV', 'bIII6', 'IV', 'V53', 'vi42', 'V53', 'IV', 'V53', 'vi42', 'V53', 'IV', 'IV64', 'ii42', 'I53', 'iv', 'IV', 'iii', 'I53', 'V', 'ii6', 'V', 'I53', 'iii64', 'IV53', 'V42', 'I64', 'i7', 'IV53', 'v7', 'I', 'I', 'i', 'i', 'i', 'i', 'v', 'v', 'v', 'IV', 'v', 'v', 'v', 'v7', 'IV', 'I64', 'V53', 'V53', 'IV', 'I64', 'V53', 'V53', 'v', 'v', 'v', 'IV', 'v', 'v', 'v', 'v7', 'IV', 'I64', 'V53', 'V53', 'IV', 'I64', 'V53', 'V53', 'IV', 'I64', 'V53', 'V53', 'IV', 'I64', 'V53', 'V53', 'bvii42', 'v42', 'ii', 'IV', 'vi', 'vi', 'bIII', 'bIII7', 'bIII7', 'vi43', 'bIII', 'bIII7', 'bVII', 'v65', 'bIII7', 'bIII7', 'i53', 'i', 'ii6', 'IV53', 'v53', 'v', 'bIII53', 'IV', 'bIII53', 'IV', 'bIII53', 'IV', 'bIII53', 'IV', 'IV', 'I64', 'V53', 'V53', 'IV', 'I64', 'V53', 'V53', 'IV', 'I64', 'V53', 'V53', 'IV', 'I64', 'V53', 'V53', 'IV', 'I64', 'V53', 'V53', 'IV', 'I64', 'V53', 'V53', 'IV', 'I64', 'V53', 'V53', 'IV', 'I64', 'V53', 'V53', 'IV', 'I64', 'V53', 'V53', 'IV', 'I64', 'V53', 'V53', 'IV6']",Domino.1
0,0,250.0,E- major,"['-', '-', 'I42', 'vi65', 'I42', 'vi65', 'I7', 'vi65', 'vi65', 'I53', 'vi65', 'I53', 'vi65', 'vi65', 'vi65', 'I53', 'vi65', 'I53', 'vi65', 'I53', 'V', 'vi65', 'i7', 'I53', 'i', 'I7', 'i', 'I53', 'i7', 'i', 'i', 'i7', 'i', 'I53', 'vi', 'vii7', 'vi42', 'vi65', 'VI', 'II', 'vi42', 'vi65', 'iii65', 'v', 'v', 'v', 'v', 'iii42', 'v', 'v', 'vi6', 'vi6', 'vi6', 'vi65', 'vi6', 'vi65', 'vi6', 'vi6', 'vi6', 'vi65', 'vi6', 'vi6', 'vi65', 'vi65', 'v', 'v', 'i7', 'I53', 'i', 'I7', 'i', 'I53', 'i43', 'i', 'i', 'i7', 'i', 'I53', 'vi', 'vii7', 'vi42', 'vi65', 'VI', 'II', 'vi42', 'vi42', 'vi42', 'iii', 'iii', 'iii', 'vi42', 'vi65', 'iii65', 'v', 'v', 'v', 'vi42', 'vi42', 'vi42', 'v']",Domino
0,0,110.00091667430564,C major,"['-', 'V', 'V53', 'V', 'II7M7', '#iv65', '#iv53', '#iv', 'V', 'V', 'V53', 'bIII', 'II53', 'II42', 'V6', 'vii', 'V53', 'IV42', 'vi42', 'V42', 'I6', 'IV42', 'v43', 'V42', 'I6', 'IV42', 'vi42', 'V42', 'I6', 'I42', 'vi42', 'V42', 'I6', '#iv6', 'V6', 'II42M7', 'iii', '#iv6', 'V6', 'II43M7', 'I64', '#iv6', 'V6', 'II42M7', 'iii', '#iv6', 'V6', 'II43M7', 'vi7', 'IV', 'I64', 'V43M7', 'I6', 'IV6', 'v43', 'V65', 'iii', 'IV42', 'vi42', 'V42', 'I6', 'V6', 'iii6', 'IV', 'I64']",Dompfaff
0,0,130.00013000013,b minor,"['i', 'v7', 'i', 'v7', 'i53', 'i53', 'i53', 'i53', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii', 'VI64', 'bI', 'VI64', 'bI', 'III', 'vi', 'ii65', 'i53', 'bi', 'i53', 'bi', 'i53', 'i53', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii', 'VI64', 'bI', 'VI64', 'bI', 'III', 'vi', 'ii65', 'i53', 'bi', 'i53', 'bi', 'i53', 'i53', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii', 'VI64', 'bI', 'VI64', 'bI', 'III', 'vi', 'ii65', 'i53', 'bi', 'i53', 'bi', 'i53', 'i53', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii', 'VI64', 'bI', 'VI64', 'bI', 'III', 'vi', 'ii65', 'i53', 'bi', 'i53', 'bi', 'i53', 'i53', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii', 'VI64', 'bI', 'VI64', 'bI', 'III', 'vi', 'ii65', 'i53', 'bi', 'i53', 'bi', 'i53', 'i53', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii', 'VI64', 'bI', 'VI64', 'bI', 'III', 'vi', 'ii65', 'i53', 'bi', 'i53', 'bi', 'i53', 'i53', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii42', 'i53', 'ii', 'VI64', 'bI', 'VI64', 'bI', 'III', 'vi', 'ii65', 'i53', 'bi', 'i53', 'bi', 'i53']",Don Juan
0,0,120.0,C major,"['-', '-', 'I64', 'I6', 'vi64', 'vi53', 'IV', 'iv', 'i', 'V', 'I53', 'I6', 'iii53', 'vi64', 'IV6', 'vi', 'v', 'V64', 'I53', 'iii', 'iii53', 'vi64', 'IV64', 'IV64', 'v', 'V53', 'iii', 'iii53', 'vi64', 'iii6', 'I64', 'iii64', 'vi6', 'vi', 'IV64', 'i6', 'I64', 'i', 'vi', 'i', 'I53', 'I6', 'I6', 'I6', 'vi64', 'vi', 'iv', 'IV64', 'v', 'V64', 'I6', 'I6', 'vi', 'vi64', 'IV64', 'IV53', 'i', 'V53', 'I6', 'iii53', 'vi64', 'iii53', 'iii', 'iii53', 'I', 'vi', 'IV64', 'i53', 'I6', 'I6', 'vi', 'i6', 'I6', 'I6', 'I6', 'I6', 'I6', 'vi53', 'IV53', 'IV6', 'iii42', 'V64', 'I64', 'I64', 'iii53', 'vi6', 'vi', 'IV64', 'v', 'V64', 'iii', 'iii53', 'I', 'iii53', 'I6', 'iii6', 'vi64', 'vi', 'IV53', 'i53', 'I64', 'I53', 'I6', 'iii53', 'vi64', 'iii', 'iii', 'iii53', 'vi53', 'vi53', 'IV53', 'i64', 'iii', 'I6', 'iii', 'iii53', 'vi64', 'iii53', 'I6', 'iii53', 'vi64', 'vi64']",Don't Answer Me.1
0,0,113.00009605008164,C major,"['I', 'I64', 'vi7', 'ii43', 'ii53', 'v', 'I64', 'I6', 'vi7', 'ii53', 'v', 'i', 'I64', 'I6', 'vi', 'ii53', 'v', 'v', 'I53', 'iii64', 'iii65', 'I53', 'IV7', 'IV7', 'i', 'I53', 'I53', 'i', 'I53', 'I', 'I64', 'vi7', 'IV6', 'ii53', 'v', 'I64', 'I6', 'vi43', 'ii53', 'ii7', 'v', 'I53', 'I64', 'iii53', 'I53', 'I53', 'IV43', 'i', 'i', 'I53', 'i42', 'i42', 'I53', 'I', 'I6', 'vi53', 'ii53', 'v', 'v', 'I64', 'I6', 'vi53', 'ii53', 'v', 'v', 'I53', 'iii53', 'iii53', 'I53', 'vi6', 'IV7', 'i', 'I42M7', 'I53', 'I53', 'iii53', 'iii42', 'I53', 'IV7', 'IV7', 'i', 'I53', 'I', 'I53', 'iii53', 'iii65', 'I53', 'IV7']",Don't Answer Me.2
0,0,113.99995440001824,C major,"['-', 'I53', 'I6', 'vi53', 'ii7', 'ii6', 'v', 'i', 'I53', 'vi42', 'vi53', 'ii65', 'ii65', 'v', 'I53', 'I6', 'vi53', 'ii43', 'ii6', 'i', 'v', 'I64', 'I64', 'V', 'I64', 'I64', 'IV53', 'IV53', '#v65', 'I53', 'I53', 'iv', 'ii', 'I53', 'I53', 'I6', 'vi42', 'vi53', 'ii6', 'i', 'v', 'I53', 'I6', 'vi53', 'ii7', 'ii6', 'v', 'i', 'I64', 'iii6', 'iii53', 'i', 'I64', 'IV6', 'iv', '#v65', 'iii', 'I53', '#v65', 'iv', 'I53', 'I53', 'I6', 'vi53', 'vi53', 'ii6', 'ii43', 'v', 'I53', 'I6', 'vi42', 'vi53', 'ii64', 'ii6', 'v', 'i', 'I64', 'iii6', 'iii53', 'I64', 'I64', 'IV6', 'iv', 'ii', 'iii', 'I53', 'I64', 'I53', 'iii64', 'I64', 'I64', 'IV6', 'iv', '#v65', 'I53', 'I53', 'I53']",Don't Answer Me.3
0,0,120.0,C major,"['-', '-', 'I64', 'I6', 'vi64', 'vi53', 'IV', 'iv', 'i', 'V', 'I53', 'I6', 'iii53', 'vi64', 'IV6', 'vi', 'v', 'V64', 'I53', 'iii', 'iii53', 'vi64', 'IV64', 'IV64', 'v', 'V53', 'iii', 'iii53', 'vi64', 'iii6', 'I64', 'iii64', 'vi6', 'vi', 'IV64', 'i6', 'I64', 'i', 'vi', 'i', 'I53', 'I6', 'I6', 'I6', 'vi64', 'vi', 'iv', 'IV64', 'v', 'V64', 'I6', 'I6', 'vi', 'vi64', 'IV64', 'IV53', 'i', 'V53', 'I6', 'iii53', 'vi64', 'iii53', 'iii', 'iii53', 'I', 'vi', 'IV64', 'i53', 'I6', 'I6', 'vi', 'i6', 'I6', 'I6', 'I6', 'I6', 'I6', 'vi53', 'IV53', 'IV6', 'iii42', 'V64', 'I64', 'I64', 'iii53', 'vi6', 'vi', 'IV64', 'v', 'V64', 'iii', 'iii53', 'I', 'iii53', 'I6', 'iii6', 'vi64', 'vi', 'IV53', 'i53', 'I64', 'I53', 'I6', 'iii53', 'vi64', 'iii', 'iii', 'iii53', 'vi53', 'vi53', 'IV53', 'i64', 'iii', 'I6', 'iii', 'iii53', 'vi64', 'iii53', 'I6', 'iii53', 'vi64', 'vi64']",Don't Answer Me.4
0,0,113.00009605008164,C major,"['-', 'I53', 'I53', 'vi', 'vi', 'ii7', 'ii7', 'v', 'i', 'I53', 'I53', 'vi', 'ii42', 'ii7', 'i', 'v', 'I', 'I53', 'vi', 'vi53', 'ii7', 'ii7', 'i', 'v', 'I53', 'I53', 'iii7', 'iii7', 'I53', 'I53', 'iv', 'IV53', 'i42', 'I42M7', 'I53', 'i42', 'i42', 'I64', 'I53', 'I53', 'I53', 'vi', 'vi53', 'ii7', 'ii7', 'i', 'V53', 'I53', 'I53', 'vi', 'vi53', 'ii7', 'ii7', 'v', 'v7', 'I53', 'vii', 'iii7', 'ii42', 'I53', 'iv7', 'IV53', 'i42', 'i42', 'I53', 'I53', 'i42', 'i42', 'I53', 'I53', 'I53', 'I53', 'vi', 'vi53', 'ii7', 'ii7', 'v', 'V53', 'I53', 'I53', 'vi', 'vi53', 'ii7', 'i', 'V53', 'iv', 'I53', 'iii7', 'iii7', 'iv', 'I53', 'iv', 'IV53', 'i42', 'i42', 'I53', 'I53', 'i42', 'i42', 'I53', 'ii42', 'I53', 'vii', 'iii7', 'ii42', 'I53', 'I', 'IV53', 'i42', 'i42', 'I53', 'I53', 'i42', 'i42', 'I53', 'I53', 'i42', 'i42', 'I53', 'I53', 'i42', 'i42', 'I64', 'I53', 'I53']",Don't Answer Me
